Card,Tipo,Cidade,Bairro,Dormitorios,Suites,Banheiros,Vagas,Area_construida,Valor
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-140-m-na-rua-barao-de-cotegipe-areal-rio-grande-rs-a-venda-por-550000/AP0649-LINL?from=sale,Apartamento,Rio Grande,Areal,3,2,1,2,140.0,550000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-350-m-na-rua-senador-salgado-filho-parque-residencial-salgado-filho-rio-grande-rs-a-venda-por-850000/CA0616-LINL?from=sale,Casa,Rio Grande,Parque Residencial Salgado Filho,4,1,4,6,350.0,850000.0
https://www.lindalvoimoveis.com.br/imovel/chacara-de-19-hectares-na-rodovia-br-471-quinta-rio-grande-rs-a-venda-por-750000/CH0005-LINL?from=sale,Chácara,Rio Grande,Quinta,3,1,2,1,0.0,750000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-200-m-na-rua-osmar-granello-cassino-rio-grande-rs-a-venda-por-380000/CA0071-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,3,5,200.0,380000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-190-m-na-rua-buarque-de-macedo-cidade-nova-rio-grande-rs-a-venda-por-550000/CA0314-LINL?from=sale,Casa,Rio Grande,Cidade Nova,3,1,2,3,190.0,550000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-160-m-na-rua-mascarenhas-de-moraes-getulio-vargas-rio-grande-rs-a-venda-por-210000/CA0687-LINL?from=sale,Casa,Rio Grande,Getúlio Vargas,3,1,2,1,160.0,210000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-175-m-na-rua-coronel-sampaio-centro-rio-grande-rs-a-venda-por-300000/CA0107-LINL?from=sale,Casa,Rio Grande,Centro,3,1,4,3,175.0,300000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-2-m-na-rua-nair-costa-mattos-cassino-rio-grande-rs-a-venda-por-340000-ou-aluguel-por-300-dia/CA0131-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,1,4,2.0,340000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-185-m-na-rua-matheo-tonietti-parque-residencial-salgado-filho-rio-grande-rs-a-venda-por-290000/CA0760-LINL?from=sale,Casa,Rio Grande,Parque Residencial Salgado Filho,2,0,2,1,185.0,290000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-com-2-dormitorios-a-venda-55-m-cassino-rio-grande-rs/AP0512-LINL?from=sale,Apartamento,Rio Grande,Cassino,2,0,1,1,55.0,298000.0
